Régime prioritaire,Régime particulier,Nombre total de vélos,Arrondissement,Adr_emplacement,latitude,longitude
2 ROUES,Vélos,10,7,110 RUE DE L' UNIVERSITE Paris 7,48.86099076632902,2.3191136233985565
2 ROUES,Vélos,10,4,11 RUE MORNAY Paris 4,48.84950717350609,2.3654684451189993
2 ROUES,Vélos,24,13,127 BD AUGUSTE BLANQUI Paris 13,48.884894501299726,2.317707250724904
2 ROUES,Vélos,4,16,80 AV MOZART Paris 16,48.83508255023683,2.3856880996839744
2 ROUES,Vélos,8,17,4 RUE ROBERVAL Paris 17,48.830866294082156,2.3438237985769947
2 ROUES,Vélos,12,13,41 BD VINCENT AURIOL Paris 13,48.85230173802018,2.2680080435796866
2 ROUES,Vélos,16,12,60 RUE DE PICPUS Paris 12,48.89445753990611,2.3220972612220097
2 ROUES,Vélos,10,12,206 AV DAUMESNIL Paris 12,48.83567996693656,2.370540770280761
2 ROUES,Vélos,5,18,25 RUE LEPIC Paris 18,48.8777669977328,2.3044610352507244
2 ROUES,Vélos,10,1,6 RUE PERRAULT Paris 1,48.85236408243408,2.3298575409154325
2 ROUES,Vélos,5,4,1 RUE DU ROI DE SICILE Paris 4,48.84324539323871,2.3969718707967824
2 ROUES,Vélos,8,8,13 RUE DE LISBONNE Paris 8,48.838020891612246,2.3993935744985015
2 ROUES,Vélos,8,18,53 RUE DU RUISSEAU Paris 18,48.89540367788623,2.379718069495074
2 ROUES,Vélos,10,20,100 AV GAMBETTA Paris 20,48.88152609462447,2.30663616909134
2 ROUES,Vélos,8,17,4 RUE PAUL BOREL Paris 17,48.86767200768366,2.37884009493287
2 ROUES,Vélos,28,5,30 RUE DE L' ARBALETE Paris 5,48.85774110798516,2.317598144532826
2 ROUES,Vélos,5,10,103 RUE DE MAUBEUGE Paris 10,48.88532591343985,2.334216961384378
2 ROUES,Vélos,3,9,9 RUE LA FAYETTE Paris 9,48.82192278982648,2.34332649739408
2 ROUES,Vélos,12,9,52 RUE LA FAYETTE Paris 9,48.82442972737511,2.3190909902636765
2 ROUES,Vélos,16,3,23 RUE DE BRETAGNE Paris 3,48.8604082820964,2.3419430685371116
2 ROUES,Vélos,4,10,129 RUE LA FAYETTE Paris 10,48.85547463735821,2.3610177548450237
2 ROUES,Vélos,5,10,14 RUE DES PETITES ECURIES Paris 10,48.87771158236702,2.315427623509398
2 ROUES,Vélos,12,4,1 BD DU PALAIS Paris 4,48.89352918903199,2.340308151703647
2 ROUES,Vélos,6,10,16 RUE DE ROCROY Paris 10,48.87090876523871,2.403790242006552
